Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
524061,Clinton Kane,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,74,2021,singer-songwriter,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094,4
631354,Shaggy,Angel,7FDV5ELOJHCGLe52AnttEd,74,2000,dance,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,235133,4
293481,SZA,Normal Girl,5fQBa4wkmq28xpSLOQ202K,74,2017,pop,0.624,0.532,0,-7.146,1,0.124,0.269,5.17e-05,0.158,0.362,76.453,253587,4
293585,LP,Lost on You,2LIh4uzqq9cXMPzzmcToHl,74,2017,pop,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,268105,4
101087,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,74,2013,show-tunes,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,223840,4
286609,Phoebe Bridgers,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,74,2017,indie-pop,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,229760,4
214676,León Larregui,Locos,3GSMdtJphymHEsR8K9jT5Q,74,2016,alt-rock,0.724,0.646,10,-6.475,1,0.0352,0.072,0.000157,0.0923,0.957,112.019,177600,4
293628,Pablo Alborán,Saturno,2f0Ft2XdvNSMSY5TUlZgEz,74,2017,pop,0.278,0.572,7,-8.295,1,0.0407,0.392,0.0,0.063,0.311,95.351,253760,3
232722,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,74,2016,folk,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4
433252,Jason Derulo,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,74,2020,dance,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4
433228,Lady Gaga,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,74,2020,dance,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
293488,Taylor Swift,I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ,74,2017,pop,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253,4
293480,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5,74,2017,pop,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600,4
598371,Zola,TOUTE LA JOURNÉE (feat. Tiakola),2nD4X3sHH2kZ1gWraTpe7u,74,2023,french,0.791,0.527,9,-7.496,0,0.0692,0.457,0.0,0.118,0.77,140.098,168088,4
1450879,Ricardo Arjona,Fuiste Tú (feat. Gaby Moreno),29csiYMOfBmLmGwxmISrMy,74,2011,pop,0.591,0.672,5,-3.515,1,0.0375,0.622,0.0,0.112,0.267,139.939,265307,4
188869,Don Omar,Guaya Guaya,79zvVrn65ksbiGQxrtV4I5,74,2015,hip-hop,0.788,0.873,7,-2.322,1,0.117,0.00607,0.00052,0.0908,0.703,91.981,193613,4
1018086,Gorillaz,DARE,4Hff1IjRbLGeLgFgxvHflk,74,2005,hip-hop,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,245000,4
175405,Melanie Martinez,Cake,5H3TCfiw0CQTX1XU7A9TXM,74,2015,electro,0.518,0.655,8,-6.255,1,0.0826,0.381,0.0,0.271,0.29,156.992,199682,4
506884,Fuego,Una Vaina Loca,2qEoAz0i6yEz5dPggABcLH,74,2021,hip-hop,0.811,0.588,1,-3.161,1,0.0464,0.128,0.0004,0.0929,0.553,107.022,226187,4
188801,$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,6QFQqqYye5lAcnhCALvxKJ,74,2015,hip-hop,0.78,0.748,11,-7.394,0,0.0352,0.00448,0.000546,0.115,0.0663,125.98,167680,4
188800,Bryson Tiller,Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz,74,2015,hip-hop,0.543,0.449,1,-8.065,1,0.0463,0.345,0.0,0.157,0.29,132.609,249320,4
188799,$uicideboy$,Runnin' Thru the 7th with My Woadies,1tm7c4V0kqLiN0XPVnoUcT,74,2015,hip-hop,0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,205766,4
411383,Carin Leon,Me La Avente,3ahvKiNH7l6EpnTnzkZpG1,74,2019,sad,0.721,0.482,11,-4.101,0,0.0325,0.572,0.0,0.0708,0.924,144.546,155803,3
1380382,Rihanna,What's My Name?,6DkXLzBQT7cwXmTyzAB1DJ,74,2010,pop,0.689,0.784,2,-2.972,1,0.074,0.182,0.0,0.0843,0.561,99.954,263173,4
1036530,Thirty Seconds To Mars,The Kill,0lP4HYLmvowOKdsQ7CVkuq,74,2005,rock,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,231533,3
98378,Julión Álvarez y su Norteño Banda,Ojos Verdes,6981hdSOqG8tP6xTqaySa1,74,2013,sad,0.787,0.469,5,-5.503,1,0.039,0.653,0.0,0.0612,0.923,106.995,237080,4
1450776,Gotye,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,74,2011,pop,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244973,4
1412794,Beyoncé,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,74,2011,dance,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,267413,4
1412806,Pitbull,International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,74,2011,dance,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,227280,4
1030155,Daniel Powter,Bad Day,0mUyMawtxj1CJ76kn9gIZK,74,2005,pop,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4
1030163,James Blunt,You're Beautiful,0vg4WnUWvze6pBOJDTq99k,74,2005,pop,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,4
452820,Drake,Time Flies,5H4mXWKcicuLKDn4Jy0sK7,74,2020,hip-hop,0.864,0.477,10,-5.786,1,0.224,0.201,0.0,0.182,0.5,86.46,192932,4
